"name","photo","category","photo_path","_id"
"a man sitting in a car in the dark","https://images.unsplash.com/photo-1713189166793-c2d1dd2a9aac?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D","","full/0f14955c714b9940ae5179c4828f5eb477619354.jpg","6622c3369342eac96d164b5c"
"the night sky with stars and the milky","https://images.unsplash.com/photo-1707029480862-ca9a6a4fd55d?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D","","full/34ff1a514ea2357626dbc988dfbd7cb3be88db16.jpg","6622c3369342eac96d164b5d"
"a mountain covered in clouds at sunset","https://images.unsplash.com/photo-1707080213273-5a5112431d94?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D","","full/d0b6bdc47bee68f32d5268ff2abb3a6aa49b9049.jpg","6622c3379342eac96d164b5e"
"a bunch of flowers that are in the grass","https://images.unsplash.com/photo-1713499944234-efc9209b5f0a?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D","","full/642625687559cd1623ef19055690e54a41cbb760.jpg","6622c3389342eac96d164b5f"
"a blurry photo of the sun setting in the sky","https://images.unsplash.com/photo-1713257510109-4cbfec05ff1d?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D","Textures & Patterns","full/70d0b666ed1a180fac777cd10162857edcb9e374.jpg","6622c3389342eac96d164b60"
"a woman in a white dress is dancing","https://images.unsplash.com/photo-1713442861323-7a5a6b07553d?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D","","full/8edcc51379421a4805d3a213b4cddcae3109b59b.jpg","6622c3399342eac96d164b61"
"a woman in a black top and orange shorts","https://images.unsplash.com/photo-1713145872144-351db3748385?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D","","full/47d33460b6e73693c722d6fc5924d825b1e4b323.jpg","6622c3399342eac96d164b62"
"a man standing on top of a dirt road under a sky filled with stars","https://images.unsplash.com/photo-1713464238868-666e916225af?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D","","full/c8583b2ff80f69c688eade2a706f71ac0a5d9aa4.jpg","6622c33a9342eac96d164b63"
"a potted plant with yellow leaves in a dark room","https://images.unsplash.com/photo-1710971228630-f59c4cb257a8?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D","","full/4bbd740d178c5c122546031492cc4a8de377eaba.jpg","6622c33c9342eac96d164b64"
"a person pouring water into a can on top of a rock","https://images.unsplash.com/photo-1711476326491-2302665640e3?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D","","full/0388ee054aa89942b5ba6b53905f645e55c8ca15.jpg","6622c33c9342eac96d164b65"
"an airplane flying over a field of flowers","https://images.unsplash.com/photo-1713223289172-e45b0ed96eae?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D","","full/969cb9c9dc90f1883a25ead1107bbcc535f8dfe9.jpg","6622c33c9342eac96d164b66"
"a green chair with a disco ball on top of it","https://images.unsplash.com/photo-1713441649678-b08feb0e4da6?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D","","full/05d1aa77e544b872e793a7a9736878c0b9409ce5.jpg","6622c33d9342eac96d164b67"
